Year,Round,Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,Amateur Lg.,NHL,GP,G,A,PTS,+/-,PIM
1994,1,15,Washington Capitals,Alexander Kharlamov,RU,,,,CSKA Moscow,Russia,,,,,,,
1995,1,15,Toronto Maple Leafs,Jeff Ware\wareje01,CA,D,18,1999,Oshawa,OHL,x,21,0,1,1,-3,12
1996,1,15,Philadelphia Flyers,Dainius Zubrus\zubruda01,SU,RW,18,2016,Pembroke,CCHL,x,1293,228,363,591,1,791
1997,1,15,Los Angeles Kings,Matt Zultek,CA,,,,Ottawa,OHL,,,,,,,
1998,1,15,Ottawa Senators,Mathieu Chouinard\chouima02,CA,G,18,2004,Shawinigan,QMJHL,x,1,0,0,0,0,0
1999,1,15,Phoenix Coyotes,Scott Kelman,CA,,,,Seattle,WHL,,,,,,,
2000,1,15,Buffalo Sabres,Artem Kryukov,RU,,,,Torpedo Yaroslavl 2,Russia-2,,,,,,,
2001,1,15,Carolina Hurricanes,Igor Knyazev,RU,D,18,,Spartak Moscow,KHL,,,,,,,
2002,1,15,Edmonton Oilers,Jesse Niinimaki,FI,C,19,,Ilves Tampere,Finland,,,,,,,
2003,1,15,New York Islanders,Robert Nilsson\nilssro01,CA,C,18,2010,Leksand,Sweden,x,252,37,81,118,-15,90
2004,1,15,Nashville Predators,Alexander Radulov\radulal01,SU,RW,18,2020,Tver,Russia-2,x,442,136,198,334,73,308
2005,1,15,New York Islanders,Ryan O'Marra\omarrry01,JP,C,18,2012,Erie,OHL,x,33,1,6,7,-3,17
