Year,Round,Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,Amateur Lg.,NHL,GP,G,A,PTS,+/-,PIM
2008,1,22,Edmonton Oilers,Jordan Eberle\eberljo01,CA,RW,18,2020,Regina,WHL,x,724,225,293,518,-48,170
2009,1,22,Vancouver Canucks,Jordan Schroeder\schrojo01,US,C,18,2018,Minnesota,WCHA,x,165,18,24,42,5,14
2010,1,22,Montreal Canadiens,Jarred Tinordi\tinorja01,US,D,18,2020,USA U-18,USHL,x,81,1,10,11,-8,112
2006,1,23,Washington Capitals,Semyon Varlamov\varlasi01,SU,G,18,2020,Lokomotiv Yaroslavl 2,Russia-3,x,493,0,7,7,0,22
2007,1,23,Nashville Predators,Jonathon Blum\blumjo02,US,D,18,2015,Vancouver,WCHL,x,110,7,17,24,-11,22
2008,1,23,Minnesota Wild,Tyler Cuma\cumaty01,CA,D,18,2012,Ottawa,OHL,x,1,0,0,0,0,2
2009,1,23,Calgary Flames,Tim Erixon\erixoti01,US,D,18,2015,Skelleftea,Sweden,x,93,2,12,14,-3,38
2010,1,23,Buffalo Sabres,Mark Pysyk\pysykma01,CA,D,18,2020,Edmonton,WHL,x,417,22,66,88,-20,126
2006,1,24,Buffalo Sabres,Dennis Persson,SE,D,18,,Vasteras,Sweden-2,,,,,,,
2007,1,24,Calgary Flames,Mikael Backlund\backlmi01,SE,C,18,2020,Vasteras,Sweden-2,x,690,145,220,365,33,335
2008,1,24,New Jersey Devils,Mattias Tedenby\tedenma01,SE,LW,18,2014,HV 71 Jonkoping,,x,120,10,20,30,-20,42
2009,1,24,Washington Capitals,Marcus Johansson\johanma03,SE,C,18,2020,Farjestad,,x,648,129,235,364,-17,104
2010,1,24,Chicago Blackhawks,Kevin Hayes\hayeske01,US,RW,18,2020,Nobles,High-MA,x,450,115,155,270,22,134
2006,1,25,St. Louis Blues,Patrik Berglund\berglpa01,SE,C,18,2019,Vasteras,Sweden-2,x,717,170,156,326,5,248
2007,1,25,Vancouver Canucks,Patrick White,US,C,18,,Tri-City,USHL,,,,,,,
2008,1,25,Calgary Flames,Greg Nemisz\nemisgr01,CA,RW,18,2012,Windsor,OHL,x,15,0,1,1,0,0
2009,1,25,Boston Bruins,Jordan Caron\caronjo01,CA,RW,18,2016,Rimouski,QMJHL,x,157,12,16,28,-9,78
2010,1,25,Florida Panthers,Quinton Howden\howdequ01,CA,C,18,2017,Moose Jaw,WHL,x,97,10,7,17,-11,30
2006,1,26,Calgary Flames,Leland Irving\irvinle01,CA,G,18,2013,Everett,WHL,x,13,0,1,1,0,0
