Year,Round,Overall,Team,Player,Nat.,Pos,Age,To,Amateur Team,Amateur Lg.,NHL,GP,G,A,PTS,+/-,PIM
1999,4,99,Atlanta Thrashers,Rob Zepp\zeppro01,CA,G,18,2015,Plymouth,OHL,x,10,0,0,0,0,0
2000,4,99,Minnesota Wild,Marc Cavosie,US,,,,RPI,ECAC,,,,,,,
2001,4,99,Ottawa Senators,Ray Emery\emeryra01,CA,G,18,2015,Sault Ste. Marie,OHL,x,287,0,4,4,0,79
2002,4,99,Montreal Canadiens,Michael Lambert,CA,LW,18,,Montreal,QMJHL,,,,,,,
2004,4,99,Pittsburgh Penguins,Tyler Kennedy\kennety01,CA,C,18,2016,Sault Ste. Marie,OHL,x,527,89,126,215,6,239
2005,4,99,New Jersey Devils,Patrick Davis\davispa01,US,RW,18,2010,Kitchener,OHL,x,9,1,0,1,-2,0
2003,3,100,Ottawa Senators,Philippe Seydoux,CH,D,18,,Kloten,Swiss,,,,,,,
1993,4,100,Detroit Red Wings,Benoit Larose,CA,,,,Laval,QMJHL,,,,,,,
1994,4,100,New York Rangers,Alexander Korobolin,RU,,,,Traktor Chelyabinsk,KHL,,,,,,,
1995,4,100,Philadelphia Flyers,Radovan Somik\somikra01,CS,RW,18,2004,ZTS Martin,Slovakia,x,113,12,20,32,7,27
1996,4,100,Boston Bruins,Trent Whitfield\whitftr01,CA,C,19,2012,Spokane,WHL,x,194,11,18,29,-3,104
1997,4,100,Calgary Flames,Ryan Ready\readyry01,CA,LW,18,2006,Belleville,OHL,x,7,0,1,1,0,0
1998,4,100,Phoenix Coyotes,Ryan Vanbuskirk,CA,,,,Sarnia,OHL,,,,,,,
1999,4,100,New Jersey Devils,Teemu Kesa,FI,,,,Ilves Tampere Jr.,Finland-Jr.,,,,,,,
2000,4,100,Toronto Maple Leafs,Miguel Delisle,CA,,,,Ottawa,OHL,,,,,,,
2001,4,100,Atlanta Thrashers,Brian Sipotz,US,D,19,,Miami (Ohio),CCHA,,,,,,,
2002,4,100,Tampa Bay Lightning,Dmitri Kazionov,RU,C,18,,CSKA Moscow,Russia,,,,,,,
2004,4,100,Montreal Canadiens,J.T. Wyman\wymanja01,US,RW,18,2013,Blake,High-MN,x,44,2,9,11,-2,8
2005,4,100,Boston Bruins,Jonathan Sigalet\sigaljo02,CA,D,19,2007,Bowling Green,CCHA,x,1,0,0,0,-2,4
2003,3,101,St. Louis Blues,Konstantin Zakharov,BY,LW,18,,Yunost Minsk,Belarus-Jr.,,,,,,,
1993,4,101,Quebec Nordiques,Ryan Tocher,CA,,,,Hamilton,OHL,,,,,,,
1994,4,101,Philadelphia Flyers,Sebastien Vallee,CA,,,,Victoriaville,QMJHL,,,,,,,
1995,4,101,St. Louis Blues,Michal Handzus\handzmi01,CS,C,18,2014,Banska Bystrica,Slovakia,x,1009,185,298,483,14,498
1996,4,101,New Jersey Devils,Josh MacNevin,CA,,,,Vernon,BCHL,,,,,,,
1997,4,101,Buffalo Sabres,Luc Theoret,CA,,,,Lethbridge,WHL,,,,,,,
1998,4,101,Ottawa Senators,Petr Schastlivy\schaspe01,SU,LW,19,2004,Torpedo Yaroslavl,KHL,x,129,18,22,40,3,30
1999,4,101,New York Islanders,Juraj Kolnik\kolniju01,CS,RW,18,2007,Rimouski,QMJHL,x,240,46,49,95,-13,84
2000,4,101,New York Islanders,Arto Tukio,FI,,,,Ilves Tampere,Finland,,,,,,,
2001,4,101,New York Islanders,Cory Stillman,CA,C,18,,Kingston,OHL,,,,,,,
2002,4,101,Pittsburgh Penguins,Daniel Fernholm,SE,D,18,,Djurgarden,Sweden,,,,,,,
2004,4,101,Philadelphia Flyers,R.J. Anderson,US,D,18,,Centennial,High-MN,,,,,,,
2005,4,101,Columbus Blue Jackets,Jared Boll\bollja01,US,RW,19,2018,Lincoln,USHL,x,579,28,38,66,-52,1298
1993,4,102,Chicago Blackhawks,Patrik Pysz,PL,,,,Augsburg,MIAC,,,,,,,
1994,4,102,Pittsburgh Penguins,Tom O'Connor,US,,,,Springfield Jr. B,,,,,,,,
1995,4,102,Pittsburgh Penguins,Oleg Belov,RU,,,,CSKA Moscow,Russia,,,,,,,
1996,4,102,San Jose Sharks,Matt Bradley\bradlma01,CA,RW,18,2012,Kingston,OHL,x,675,59,90,149,-19,562
1997,4,102,Detroit Red Wings,Quintin Laing\laingqu01,CA,LW,18,2010,Kelowna,WHL,x,79,3,8,11,8,31
1998,4,102,Calgary Flames,Shaun Sutter,CA,,,,Lethbridge,WHL,,,,,,,
1999,4,102,New York Islanders,Johan Halvardsson,SE,,,,HV 71 Jonkoping,Sweden,,,,,,,
2000,4,102,Detroit Red Wings,Stefan Liv,SE,,,,HV 71 Jonkoping,Sweden,,,,,,,
2001,4,102,Anaheim Ducks,Timo Parssinen\parssti01,FI,LW,24,2002,HPK Hameenlinna,Finland,x,17,0,3,3,0,2
2002,4,102,Nashville Predators,Brandon Segal\segalbr01,CA,RW,19,2013,Calgary,WHL,x,103,11,11,22,1,85
2003,4,102,Carolina Hurricanes,Aaron Dawson,US,D,18,,Peterborough,OHL,,,,,,,
2004,4,102,Tampa Bay Lightning,Mike Lundin\lundimi01,US,D,19,2013,U. of Maine,H-East,x,252,4,32,36,-11,54
2005,4,102,Tampa Bay Lightning,Blair Jones\jonesbl01,CA,C,18,2015,Moose Jaw,WHL,x,132,7,10,17,-18,65
1993,4,103,Boston Bruins,Shawn Bates\batessh01,US,C,18,2008,Medford,High-MA,x,465,72,126,198,-28,266
1994,4,103,New Jersey Devils,Zdenek Skorepa,CZ,,,,Chemopetrol Litvinov,Russia,,,,,,,
1995,4,103,Ottawa Senators,Kevin Boyd,CA,,,,London,OHL,,,,,,,
1996,4,103,Toronto Maple Leafs,Vladimir Antipov,RU,,,,Torpedo Yaroslavl,KHL,,,,,,,
1997,4,103,Philadelphia Flyers,Mikhail Chernov,RU,,,,Torpedo Yaroslavl 2,Russia-2,,,,,,,
1998,4,103,Los Angeles Kings,Kip Brennan\brennki01,CA,LW,18,2008,Sudbury,OHL,x,61,1,1,2,-2,222
1999,4,103,Florida Panthers,Morgan McCormick,CA,,,,Kingston,OHL,,,,,,,
2000,4,103,Boston Bruins,Brett Nowak,US,,,,Harvard,ECAC,,,,,,,
2001,4,103,Minnesota Wild,Tony Virta\virtato01,FI,RW,29,2002,TPS Turku,Finland,x,8,2,3,5,0,0
2002,4,103,Anaheim Ducks,Joonas Vihko,FI,C,21,,HIFK Helsinki,Finland,,,,,,,
2003,4,103,Columbus Blue Jackets,Kevin Jarman,CA,LW,18,,Stouffville,OPJHL,,,,,,,
2004,4,103,Phoenix Coyotes,Roman Tomanek,SI,RW,18,,Povazska Bystrica,Slovakia-2,,,,,,,
2005,4,103,Detroit Red Wings,Mattias Ritola\ritolma01,SE,RW,18,2012,Leksand Jr.,Sweden-Jr.,x,43,4,5,9,-7,17
1993,4,104,Pittsburgh Penguins,Jonas Andersson-Junkka,SE,,,,Kiruna,Sweden,,,,,,,
1994,4,104,New York Rangers,Sylvain Blouin\blouisy01,CA,LW,20,2003,Laval,QMJHL,x,115,3,4,7,-20,336
1995,4,104,Detroit Red Wings,Anatoli Ustyugov,RU,,,,Torpedo Yaroslavl,KHL,,,,,,,
1996,4,104,Hartford Whalers,Steve Wasylko,CA,,,,Detroit,OHL,,,,,,,
1997,4,104,New Jersey Devils,Lucas Nehrling,CA,,,,Sarnia,OHL,,,,,,,
1998,4,104,San Jose Sharks,Miroslav Zalesak\zalesmi01,CS,RW,18,2004,Plastika Nitra,Slovakia,x,12,1,2,3,-3,0
1999,4,104,Los Angeles Kings,Brian McGrattan\mcgrabr01,CA,RW,18,2015,Sudbury,OHL,x,317,10,17,27,-11,609
2000,4,104,San Jose Sharks,Jon DiSalvatore\disaljo01,US,RW,19,2012,Providence,H-East,x,6,0,0,0,-1,4
2001,4,104,Chicago Blackhawks,Brent MacLellan,CA,D,18,,Rimouski,QMJHL,,,,,,,
2002,4,104,Los Angeles Kings,Aaron Rome\romeaa01,CA,D,18,2014,Swift Current,WHL,x,226,6,22,28,-17,185
2003,4,104,Columbus Blue Jackets,Philippe Dupuis\dupuiph01,CA,C,18,2012,Hull,QMJHL,x,116,6,12,18,-6,62
2004,4,104,Dallas Stars,Fredrik Naslund,SE,LW,18,,Vasteras,Sweden-2,,,,,,,
2005,4,104,Florida Panthers,Matt Duffy,US,D,19,,N.H. Jr. Monarchs,EJHL,,,,,,,
1996,4,105,Pittsburgh Penguins,Michal Rozsival\rozsimi01,CS,D,18,2017,Dukla Jihlava,Czech-2,x,963,68,241,309,83,704
1997,4,105,Dallas Stars,Marcus Kristoffersson,SE,,,,Mora,Sweden-2,,,,,,,
1998,4,105,New Jersey Devils,Pierre Dagenais\dagenpi01,CA,RW,20,2006,Rouyn-Noranda,QMJHL,x,142,35,23,58,0,58
1999,4,105,Anaheim Ducks,Alexandr Chagodayev,RU,,,,CSKA Moscow,Russia,,,,,,,
2000,4,105,New York Islanders,Vladimir Gorbunov,RU,,,,HC Moscow,KHL,,,,,,,
2001,4,105,Anaheim Ducks,Vladimir Korsunov,RU,D,18,,Spartak Moscow 2,Russia-3,,,,,,,
2002,4,105,Philadelphia Flyers,Rosario Ruggeri,CA,D,18,,Chicoutimi,QMJHL,,,,,,,
2003,4,105,Florida Panthers,Martin Lojek\lojekma01,CS,D,18,2008,Brampton,OHL,x,5,0,1,1,1,0
2004,4,105,Florida Panthers,Evan Schafer,CA,D,18,,Prince Albert,WHL,,,,,,,
2005,4,105,Phoenix Coyotes,Keith Yandle\yandlke01,US,D,19,2020,Cushing Academy,High-MA,x,976,99,474,573,-48,564
1993,5,105,Los Angeles Kings,Frederick Beaubien,CA,,,,St. Hyacinthe,QMJHL,,,,,,,
1994,5,105,Florida Panthers,Dave Geris,CA,,,,Windsor,OHL,,,,,,,
1995,5,105,Washington Capitals,Benoit Gratton\grattbe01,CA,C,18,2004,Laval,QMJHL,x,58,6,10,16,0,58
1996,4,106,Buffalo Sabres,Mike Martone,CA,,,,Peterborough,OHL,,,,,,,
1997,4,106,St. Louis Blues,Jame Pollock\polloja01,CA,D,18,2004,Seattle,WHL,x,9,0,0,0,-1,6
1998,4,106,Washington Capitals,Krys Barch\barchkr01,CA,RW,18,2014,London,OHL,x,381,12,23,35,-16,812
1999,4,106,Calgary Flames,Roman Rozakov,RU,,,,Lada Togliatti 2,Russia-3,,,,,,,
2000,4,106,Chicago Blackhawks,Scott Balan,CA,,,,Regina,WHL,,,,,,,
2001,4,106,San Jose Sharks,Christian Ehrhoff\ehrhoch01,DE,D,19,2016,Krefeld,Germany,x,789,74,265,339,48,517
2002,4,106,Edmonton Oilers,Ivan Koltsov,RU,D,18,,Cherepovets-2,Russia-3,,,,,,,
2003,4,106,Buffalo Sabres,Jan Hejda\hejdaja01,CS,D,25,2015,Slavia Praha,,x,627,25,110,135,-7,317
2004,4,106,Atlanta Thrashers,Chad Painchaud,CA,LW,18,,Mississauga,OHL,,,,,,,
2005,4,106,Boston Bruins,Vladimir Sobotka\sobotvl01,CS,C,18,2020,Slavia Praha,Czech-2,x,548,53,118,171,-22,362
1993,5,106,San Jose Sharks,Andrei Buschan,UA,,,,Kiev,Russia,,,,,,,
1994,5,106,Anaheim Ducks,Pavel Trnka\trnkapa01,CS,D,18,2004,Skoda Plzen,Czech,x,411,14,63,77,-12,323
1995,5,106,New York Islanders,Vladimir Orszagh\orszavl01,CS,RW,18,2006,Banska Bystrica,Slovakia,x,289,54,65,119,-22,194
1996,4,107,Colorado Avalanche,Randy Petruk,CA,,,,Kamloops,WHL,,,,,,,
1998,4,107,Washington Capitals,Chris Corrinet\corrich02,US,RW,19,2002,Princeton,ECAC,x,8,0,1,1,-4,6
1999,4,107,Montreal Canadiens,Evan Lindsay,CA,,,,Prince Albert,WHL,,,,,,,
2000,4,107,Atlanta Thrashers,Carl Mallette,CA,,,,Victoriaville,QMJHL,,,,,,,
2001,4,107,San Jose Sharks,Dimitri Patzold\patzodi01,SU,G,18,2008,Erding,,x,3,0,0,0,0,0
2002,4,107,Colorado Avalanche,Mikko Kalteva,FI,D,18,,Jokerit Helsinki Jr.,Finland-Jr.,,,,,,,
2003,4,107,Boston Bruins,Byron Bitz\bitzby01,CA,RW,19,2012,Nanaimo,BCHL,x,97,10,12,22,-6,65
2004,4,107,Nashville Predators,Nick Fugere,CA,LW,18,,Gatineau,QMJHL,,,,,,,
2005,4,107,New York Rangers,Tom Pyatt\pyattto01,CA,C,18,2019,Saginaw,OHL,x,445,43,58,101,-41,71
1993,5,107,Tampa Bay Lightning,Ryan Brown,CA,,,,Seattle,WHL,,,,,,,
1994,5,107,Calgary Flames,Nils Ekman\ekmanni01,SE,LW,18,2007,Hammarby,,x,264,60,91,151,13,188
1995,5,107,Anaheim Ducks,Igor Nikulin,SU,RW,23,,Cherepovets,KHL,,,,,,,
1997,5,107,San Jose Sharks,Adam Nittel,CA,,,,Erie,OHL,,,,,,,
1996,4,108,Detroit Red Wings,Johan Forsander,SE,,,,HV 71 Jonkoping,Sweden,,,,,,,
1998,4,108,Calgary Flames,Dany Sabourin\sabouda01,CA,G,18,2009,Sherbrooke,QMJHL,x,57,0,1,1,0,4
1999,4,108,Toronto Maple Leafs,Mirko Murovic,CA,,,,Moncton,QMJHL,,,,,,,
2000,4,108,Atlanta Thrashers,Blake Robson,CA,,,,Portland,WHL,,,,,,,
2001,4,108,Calgary Flames,Tomi Maki\makito01,FI,RW,18,2007,Jokerit Helsinki Jr.,Finland-Jr.,x,1,0,0,0,0,0
2002,4,108,Buffalo Sabres,Jakub Hulva,CZ,RW,18,,Vitkovice Jr.,Czech-Jr.,,,,,,,
2003,4,108,Philadelphia Flyers,Kevin Romy,CH,C,18,,Geneve,Swiss,,,,,,,
2004,4,108,Boston Bruins,Ashton Rome,CA,RW,18,,Moose Jaw,WHL,,,,,,,
2005,4,108,Chicago Blackhawks,Niklas Hjalmarsson\hjalmni01,SE,D,18,2020,HV 71 Jonkoping Jr.,Sweden-Jr.,x,780,25,142,167,112,314
1993,5,108,Anaheim Ducks,Mikhail Shtalenkov\shtalmi01,SU,G,27,2000,Milwaukee,IHL,x,190,0,6,6,0,14
1994,5,108,Winnipeg Jets,Craig Mills\millscr01,CA,RW,18,1999,Belleville,OHL,x,31,0,5,5,-1,36
1995,5,108,Tampa Bay Lightning,Konstantin Golokhvastov,UA,,,,Dynamo Moscow,Russia,,,,,,,
1997,5,108,Tampa Bay Lightning,Mark Thompson,CA,,,,Regina,WHL,,,,,,,
1998,4,109,Philadelphia Flyers,Jean-Philippe Morin,CA,,,,Drummondville,QMJHL,,,,,,,
1999,4,109,Florida Panthers,Rod Sarich,CA,,,,Calgary,WHL,,,,,,,
2000,4,109,Montreal Canadiens,Johan Eneqvist,SE,,,,Leksand,Sweden,,,,,,,
2001,4,109,Montreal Canadiens,Martti Jarventie\jarvema01,FI,D,25,2002,TPS Turku,Finland,x,1,0,0,0,2,0
2002,4,109,Washington Capitals,Jevon Desautels,CA,LW,18,,Spokane,WHL,,,,,,,
2003,4,109,Washington Capitals,Andreas Valdix,SE,LW,18,,Malmo,,,,,,,,
2004,4,109,Carolina Hurricanes,Brett Carson\carsobr01,CA,D,18,2013,Calgary,WHL,x,90,2,11,13,8,20
2005,4,109,Washington Capitals,Andrew Thomas,US,D,19,,Denver,WCHA,,,,,,,
1993,5,109,Florida Panthers,Todd MacDonald,CA,,,,Tacoma,WHL,,,,,,,
1994,5,109,Hartford Whalers,Ryan Risidore,CA,,,,Guelph,OHL,,,,,,,
1995,5,109,Edmonton Oilers,Jan Snopek,CZ,,,,Oshawa,OHL,,,,,,,
1996,5,109,New York Islanders,Bubba Berenzweig\berenbu01,US,D,19,2003,Michigan,CCHA,x,37,3,7,10,-4,14
1997,5,109,Tampa Bay Lightning,Jan Sulc,CZ,,,,Chemopetrol Litvinov,Russia,,,,,,,
1998,4,110,Pittsburgh Penguins,Scott Myers,CA,,,,Prince George,WHL,,,,,,,
1999,4,110,Toronto Maple Leafs,Jon Zion,CA,,,,Ottawa,OHL,,,,,,,
2000,4,110,Carolina Hurricanes,Jared Newman,US,,,,Plymouth,OHL,,,,,,,
2001,4,110,Carolina Hurricanes,Rob Zepp\zeppro01,CA,G,20,2015,Plymouth,OHL,x,10,0,0,0,0,0
2002,4,110,Dallas Stars,Jarkko A. Immonen,FI,C,18,,Blues Espoo Jr.,Finland-Jr.,,,,,,,
2003,4,110,Atlanta Thrashers,Jim Sharrow,US,D,18,,Halifax,QMJHL,,,,,,,
2004,4,110,Los Angeles Kings,Ned Lukacevic,ME,LW,18,,Spokane,WHL,,,,,,,
2005,4,110,Minnesota Wild,Kyle Bailey,CA,C,18,,Portland,WHL,,,,,,,
1993,5,110,New Jersey Devils,John Guirestante,CA,,,,Toronto,,,,,,,,
1994,5,110,Edmonton Oilers,Jon Gaskins,US,,,,Dubuque Jr. B,,,,,,,,
1995,5,110,New York Rangers,Alexei Vasiliev\vasilal02,SU,D,18,2000,Torpedo Yaroslavl 2,Russia-2,x,1,0,0,0,-1,2
1996,5,110,Toronto Maple Leafs,Peter Cava,CA,,,,Sault Ste. Marie,OHL,,,,,,,
1997,5,110,Chicago Blackhawks,Ben Simon\simonbe01,US,LW,19,2006,Notre Dame,CCHA,x,81,3,1,4,-13,47
1998,4,111,Detroit Red Wings,Brent Hobday,CA,,,,Moose Jaw,WHL,,,,,,,
1999,4,111,San Jose Sharks,Willie Levesque,US,,,,Northeastern,H-East,,,,,,,
2000,4,111,Buffalo Sabres,Ghyslain Rousseau,CA,,,,Baie-Comeau,QMJHL,,,,,,,
2001,4,111,Boston Bruins,Matti Kaltiainen,FI,G,19,,Blues Espoo Jr.,Finland-Jr.,,,,,,,
2002,4,111,Edmonton Oilers,Jonas Almtorp,SE,C,18,,MoDo Ornskoldsvik Jr.,Sweden-Jr.,,,,,,,
2003,4,111,Vancouver Canucks,Brandon Nolan\nolanbr01,CA,C,20,2008,Oshawa,OHL,x,6,0,1,1,-2,0
2004,4,111,Minnesota Wild,Ryan Jones\jonesry01,CA,RW,20,2014,Chatham,GOJHL,x,334,54,46,100,-11,181
2005,4,111,Calgary Flames,J.D. Watt,CA,RW,18,,Vancouver,WCHL,,,,,,,
1993,5,111,Edmonton Oilers,Miroslav Satan\satanmi01,CS,LW,18,2010,Dukla Trencin,Slovakia,x,1050,363,372,735,20,464
1994,5,111,Los Angeles Kings,Chris Schmidt\schmich01,CA,C,18,2003,Seattle,WHL,x,10,0,2,2,-1,5
1995,5,111,Buffalo Sabres,Marian Menhart,CZ,,,,Chemopetrol Litvinov,Russia,,,,,,,
1996,5,111,Toronto Maple Leafs,Brandon Sugden,CA,,,,London,OHL,,,,,,,
1997,5,111,Toronto Maple Leafs,Frantisek Mrazek,CZ,,,,Ceske Budejovice,Czech-2,,,,,,,
1998,4,112,Anaheim Ducks,Viktor Wallin,SE,,,,HV 71 Jonkoping Jr.,Sweden-Jr.,,,,,,,
1999,4,112,Colorado Avalanche,Sanny Lindstrom,SE,,,,Huddinge,Sweden,,,,,,,
2000,4,112,New York Rangers,Premysl Duben,CZ,,,,Dukla Jihlava,Czech-2,,,,,,,
2001,4,112,Atlanta Thrashers,Milan Gajic,CA,C,20,,Burnaby,BCHL,,,,,,,
2002,4,112,Calgary Flames,Yuri Artemenkov,RU,RW,18,,Krylja Sovetov 2,Russia-2,,,,,,,
2003,4,112,Calgary Flames,Jamie Tardif\tardija01,CA,RW,18,2013,Peterborough,OHL,x,2,0,0,0,0,0
2004,4,112,Edmonton Oilers,Liam Reddox\reddoli01,CA,LW,18,2011,Peterborough,OHL,x,100,6,18,24,-17,34
2005,4,112,San Jose Sharks,Alex Stalock\staloal01,US,G,18,2020,Cedar Rapids,USHL,x,151,0,4,4,0,12
1993,5,112,New York Rangers,Gary Roach,CA,,,,Sault Ste. Marie,OHL,,,,,,,
1994,5,112,New York Islanders,Mark McArthur,CA,,,,Guelph,OHL,,,,,,,
1995,5,112,Montreal Canadiens,Niklas Anger,SE,,,,Djurgarden,Sweden,,,,,,,
1996,5,112,Dallas Stars,Ryan Christie\chrisry01,CA,LW,18,2002,Owen Sound,OHL,x,7,0,0,0,-2,0
1997,5,112,Tampa Bay Lightning,Karel Betik\betikka01,CS,D,18,1999,Kelowna,WHL,x,3,0,2,2,-3,2
1998,4,113,Edmonton Oilers,Kristian Antila,FI,,,,Ilves Tampere,Finland,,,,,,,
1999,4,113,Carolina Hurricanes,Ryan Murphy,US,,,,Bowling Green,CCHA,,,,,,,
2000,4,113,Edmonton Oilers,Lou Dickenson,CA,,,,Mississauga,OHL,,,,,,,
2001,4,113,New York Rangers,Bryce Lampman\lampmbr01,US,D,19,2007,Omaha,USHL,x,10,0,0,0,-5,2
2002,4,113,Ottawa Senators,Scott Dobben,CA,C,19,,Erie,OHL,,,,,,,
2003,4,113,Montreal Canadiens,Corey Locke\lockeco01,CA,C,19,2011,Ottawa,OHL,x,9,0,1,1,-1,0
2004,4,113,Toronto Maple Leafs,Roman Kukumberg,SK,C,24,,Dukla Trencin,Slovakia,,,,,,,
2005,4,113,Chicago Blackhawks,Nathan Davis,US,C,19,,Miami (Ohio),CCHA,,,,,,,
1993,5,113,Montreal Canadiens,Jeff Lank\lankje01,CA,D,18,2000,Prince Albert,WHL,x,2,0,0,0,0,2
1994,5,113,Quebec Nordiques,Tony Tuzzolino\tuzzoto01,US,RW,18,2002,Michigan State,CCHA,x,9,0,0,0,-4,7
1995,5,113,Hartford Whalers,Hugh Hamilton,CA,,,,Spokane,WHL,,,,,,,
1996,5,113,Dallas Stars,Yevgeny Tsybuk,RU,,,,Torpedo Yaroslavl,KHL,,,,,,,
1997,5,113,Calgary Flames,Martin Moise,CA,,,,Beauport,QMJHL,,,,,,,
1998,4,114,New York Rangers,Boyd Kane\kanebo01,CA,LW,20,2010,Regina,WHL,x,31,0,3,3,-8,39
1999,4,114,St. Louis Blues,Chad Starling,CA,,,,Kamloops,WHL,,,,,,,
2000,4,114,Montreal Canadiens,Christian Larrivee,CA,,,,Chicoutimi,QMJHL,,,,,,,
2001,4,114,Vancouver Canucks,Evgeny Gladskikh,RU,RW,19,,Magnitogorsk,KHL,,,,,,,
2002,4,114,Vancouver Canucks,John Laliberte,US,RW,19,,N.H. Jr. Monarchs,EJHL,,,,,,,
2003,4,114,Buffalo Sabres,Denis Ezhov,RU,D,18,,CSK VVS Samara,,,,,,,,
2004,4,114,Minnesota Wild,Patrick Bordeleau\bordepa02,CA,LW,18,2015,Val d'Or,QMJHL,x,129,8,8,16,-8,185
2005,4,114,Vancouver Canucks,Alexandre Vincent,CA,G,18,,Chicoutimi,QMJHL,,,,,,,
1993,5,114,Philadelphia Flyers,Vladimir Krechin,RU,,,,Traktor Chelyabinsk,KHL,,,,,,,
1994,5,114,Detroit Red Wings,Frederic Deschenes,CA,,,,Granby,QMJHL,,,,,,,
1995,5,114,Florida Panthers,Francois Cloutier,CA,,,,Hull,QMJHL,,,,,,,
1996,5,114,Edmonton Oilers,Brian Urick,US,,,,Notre Dame,CCHA,,,,,,,
1997,5,114,Vancouver Canucks,David Darguzas,CA,,,,Edmonton,WHL,,,,,,,
1999,4,115,Pittsburgh Penguins,Ryan Malone\malonry01,US,LW,19,2015,Omaha,USHL,x,647,179,191,370,-59,693
2000,4,115,Florida Panthers,Chris Eade,CA,,,,North Bay,OHL,,,,,,,
2001,4,115,Chicago Blackhawks,Vladimir Gusev,RU,D,18,,Khabarovsk,KHL,,,,,,,
2002,4,115,Los Angeles Kings,Mark Rooneem,CA,LW,19,,Kamloops,WHL,,,,,,,
2003,4,115,Phoenix Coyotes,Liam Lindstrom,CA,C,18,,Mora,,,,,,,,
2004,4,115,New York Islanders,Wes O'Neill\oneilwe01,CA,D,18,2010,Notre Dame,CCHA,x,5,0,0,0,-1,6
2005,4,115,Ottawa Senators,Janne Kolehmainen,FI,LW,19,,SaiPa,Finland,,,,,,,
1993,5,115,Hartford Whalers,Nolan Pratt\prattno01,CA,D,18,2008,Portland,WHL,x,592,9,56,65,2,537
1994,5,115,San Jose Sharks,Brian Swanson\swansbr01,US,C,18,2004,Omaha,USHL,x,70,4,13,17,-9,16
1995,5,115,Dallas Stars,Wade Strand,CA,,,,Regina,WHL,,,,,,,
1996,5,115,Buffalo Sabres,Alexei Tezikov\tezikal01,SU,D,18,2002,Lada Togliatti,KHL,x,30,1,1,2,-1,2
1997,5,115,New York Islanders,Adam Edinger,US,,,,Bowling Green,CCHA,,,,,,,
1998,5,115,Phoenix Coyotes,Jay Leach\leachja02,US,D,19,2011,Providence,H-East,x,70,1,2,3,3,60
1999,4,116,Phoenix Coyotes,Ryan Lauzon,CA,,,,Hull,QMJHL,,,,,,,
2000,4,116,Calgary Flames,Levente Szuper,HU,,,,Ottawa,OHL,,,,,,,
2001,4,116,Los Angeles Kings,Richard Petiot\petiori01,CA,D,19,2011,Camrose,AJHL,x,15,0,3,3,4,25
2002,4,116,Atlanta Thrashers,Patrick Dwyer\dwyerpa01,US,RW,19,2015,Western Michigan,CCHA,x,416,42,51,93,-32,77
2003,4,116,Atlanta Thrashers,Guillaume Desbiens\desbigu01,CA,RW,18,2012,Rouyn Noranda,QMJHL,x,23,0,0,0,-4,37
2004,4,116,St. Louis Blues,Michal Birner,CZ,LW,18,,Praha Slava Jr.,Czech-Jr.,,,,,,,
2005,4,116,Atlanta Thrashers,Jordan Smotherman\lavaljo01,US,LW,19,2009,Quebec,QMJHL,x,4,1,1,2,1,0
1993,5,116,Buffalo Sabres,Richard Safarik,SK,,,,AC Nitra,Slovakia,,,,,,,
1994,5,116,New York Islanders,Albert O'Connell,US,,,,St. Sebastian's,High-MA,,,,,,,
1995,5,116,San Jose Sharks,Miikka Kiprusoff\kiprumi01,FI,G,18,2013,TPS Turku,Finland,x,623,0,10,10,0,47
1996,5,116,Hartford Whalers,Mark McMahon,CA,,,,Kitchener,OHL,,,,,,,
1997,5,116,Washington Capitals,Kevin Caulfield,US,,,,Boston College,H-East,,,,,,,
1998,5,116,Phoenix Coyotes,Josh Blackburn,US,,,,Lincoln,USHL,,,,,,,
1999,4,117,Buffalo Sabres,Karel Mosovsky,CZ,,,,Regina,WHL,,,,,,,
2000,4,117,Chicago Blackhawks,Olli Malmivaara\malmiol01,FI,D,18,2008,Jokerit Helsinki,KHL,x,2,0,0,0,2,0
2001,4,117,Florida Panthers,Mike Woodford,US,RW,19,,Cushing Academy,High-MA,,,,,,,
2002,4,117,New Jersey Devils,Cam Janssen\janssca01,US,RW,18,2014,Windsor,OHL,x,336,6,8,14,-26,774
2003,4,117,Nashville Predators,Teemu Lassila,FI,G,20,,TPS Turku,,,,,,,,
2004,4,117,Minnesota Wild,Julien Sprunger,CH,RW,18,,Fribourg,,,,,,,,
2005,4,117,Chicago Blackhawks,Denis Istomin,RU,RW,18,,Chelyabinsk,Russia-2,,,,,,,
1993,5,117,Los Angeles Kings,Jason Saal,US,,,,Detroit,OHL,,,,,,,
1994,5,117,Vancouver Canucks,Yanick Dube,CA,,,,Laval,QMJHL,,,,,,,
1995,5,117,New York Rangers,Dale Purinton\purinda01,US,D,18,2004,Tacoma,WHL,x,181,4,16,20,-3,578
1996,5,117,Anaheim Ducks,Brendan Buckley,US,,,,Boston College,H-East,,,,,,,
1997,5,117,Vancouver Canucks,Matt Cockell,CA,,,,Saskatoon,WHL,,,,,,,
1998,5,117,Florida Panthers,Jaroslav Spacek\spaceja01,CS,D,24,2012,Farjestad,Sweden,x,880,82,273,355,49,618
1999,4,118,Boston Bruins,Jaakko Harikkala,FI,,,,Lukko Rauma,Finland,,,,,,,
2000,4,118,Los Angeles Kings,Lubomir Visnovsky\visnolu01,CS,D,24,2015,Bratislava,KHL,x,883,128,367,495,40,373
